,Timestamp,YEAR,DOY,HR,Scalar_B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Proton_Density,SW_Plasma_Temperature,SW_Plasma_Speed,Dst-index
210,1999-9-18,1999,9,18,7.777,4.551,-4.672,1.74,-4.928,0.706,2.068,64174.0,387.33,-19.0
211,1999-9-19,1999,9,19,7.025,5.551,-0.799,-2.64,-0.097,-2.738,2.796,116530.0,391.12,-17.0
212,1999-9-20,1999,9,20,7.108,5.291,-3.839,-1.636,-3.197,-2.7,2.74,115090.0,394.19,-14.0
213,1999-9-21,1999,9,21,7.576,-1.139,-6.812,1.538,-6.951,-0.695,2.664,117430.0,463.24,-15.0
214,1999-9-22,1999,9,22,4.008,1.567,-0.517,2.522,-1.328,2.212,3.52,204390.0,435.41,-18.0
215,1999-9-23,1999,9,23,7.124,-0.317,-5.492,2.049,-5.86,0.101,1.769,89012.0,455.25,-19.0
216,1999-10-0,1999,10,0,6.685,4.64,-0.232,-2.621,0.626,-2.554,1.912,76466.0,377.36,-17.0
217,1999-10-1,1999,10,1,6.922,2.545,-5.2,1.646,-5.448,0.009,1.9,82695.0,410.8,-16.0
218,1999-10-2,1999,10,2,6.148,-2.951,-5.117,-0.133,-4.891,-1.478,2.295,218620.0,463.96,-14.0
219,1999-10-3,1999,10,3,6.701,1.951,-4.808,0.763,-4.84,-0.313,2.006,68479.0,429.85,-9.0
220,1999-10-4,1999,10,4,7.124,5.009,-3.777,2.41,-4.116,1.738,1.591,64891.0,369.73,-10.0
221,1999-10-5,1999,10,5,6.591,5.491,-2.368,1.88,-2.587,1.612,1.756,110250.0,379.89,-9.0
